"","Age","Vulnerable","Lives_In_Hotspot","Political_association","News_Source","Trust_News","Covid_Knowledge","Trust_Conservatives","Trust_Ford","Mask","Bubble","Follow_Store_Restrictions","Non_essential_outing","Travel_Canada","Travel_World"
"404","35-44","No","Yes","Conservative","News_Print","Internet",5,"Yes","Yes","Always","Yes","Sometimes","4-5","Yes","Yes"
"405","25-34","No","No","Conservative","Internet","News_Print",4,"Yes","Yes","Rarely","No","Rarely","7+","Yes","No"
"406","35-44","Yes","Yes","Conservative","News_TV","News_TV",1,"Yes","Yes","Never","No","Most of the Time","7+","Yes","No"
"407","35-44","No","No","Conservative","SM","Other",2,"Yes","Yes","Most of the Time","No","Rarely","4-5","Yes","Yes"
"408","35-44","No","Yes","Green","SM","News_Print",1,"Yes","Maybe","Sometimes","Yes","Never","0","No","No"
"409","45-54","No","No","Conservative","Internet","SM",3,"No","Yes","Always","Yes","Most of the Time","1-3","No","No"
"410","25-34","Yes","No","NDP","SM","News_TV",1,"Yes","Maybe","Always","Yes","Most of the Time","1-3","Yes","No"
"411","35-44","Yes","Yes","Liberals","Internet","News_TV",4,"Yes","Yes","Always","Yes","Never","1-3","No","Yes"
"412","18-24","No","No","Liberals","News_TV","News_Print",0,"No","Maybe","Most of the Time","Yes","Most of the Time","1-3","No","No"
"413","25-34","No","No","Liberals","SM","Internet",3,"Yes","No","Most of the Time","No","Rarely","1-3","No","No"
"414","55-64","No","Yes","Conservative","News_TV","Internet",3,"Maybe","No","Rarely","Yes","Most of the Time","4-5","Yes","No"
"415","35-44","No","Yes","Liberals","Internet","News_Print",5,"Maybe","Yes","Always","No","Always","1-3","No","No"
"416","25-34","Yes","No","Conservative","News_Print","Other",3,"No","No","Never","Yes","Most of the Time","4-5","Yes","No"
"417","18-24","No","No","Liberals","Internet","News_Print",5,"Yes","No","Sometimes","Yes","Always","0","Yes","Yes"
"418","35-44","Yes","No","Liberals","Internet","News_Print",4,"Yes","No","Rarely","Yes","Always","4-5","No","No"
"419","18-24","No","No","Conservative","News_TV","News_Print",0,"Yes","Yes","Most of the Time","Yes","Most of the Time","0","No","No"
"420","74+","Yes","No","Conservative","News_TV","Internet",3,"No","Yes","Rarely","Yes","Most of the Time","1-3","Yes","No"
"421","65-74","Yes","Yes","Green","SM","SM",2,"Maybe","No","Always","Yes","Most of the Time","1-3","No","No"
"422","55-64","Yes","No","Liberals","SM","SM",2,"Yes","Yes","Rarely","Yes","Always","4-5","No","No"
"423","55-64","Yes","No","Conservative","Other","Family",3,"No","No","Most of the Time","Yes","Never","4-5","Yes","No"
"424","25-34","No","No","Conservative","Internet","News_TV",4,"No","Yes","Most of the Time","Yes","Always","7+","No","No"
"425","35-44","No","No","NDP","Family","Internet",2,"No","Yes","Always","Yes","Most of the Time","1-3","No","No"
"426","45-54","No","Yes","Conservative","SM","SM",2,"Maybe","Yes","Always","Yes","Always","4-5","No","No"
"427","65-74","No","No","Conservative","News_Print","Family",5,"Yes","Yes","Rarely","Yes","Always","1-3","No","No"
"428","55-64","No","No","Green","Internet","News_Print",4,"Maybe","No","Always","Yes","Most of the Time","1-3","No","Yes"
"429","55-64","Yes","No","Conservative","SM","News_TV",1,"No","No","Sometimes","Yes","Most of the Time","0","No","No"
"430","18-24","No","Yes","NDP","Family","News_Print",4,"Maybe","No","Never","No","Most of the Time","4-5","No","No"
"431","65-74","No","No","NDP","Family","Other",3,"Yes","Yes","Always","No","Always","4-5","Yes","No"
"432","74+","No","No","Conservative","News_Print","News_TV",0,"Yes","Yes","Most of the Time","Yes","Most of the Time","1-3","No","No"
"433","65-74","No","No","Green","News_Print","SM",3,"Maybe","Yes","Always","No","Always","1-3","No","No"
"434","35-44","No","No","Conservative","News_Print","News_TV",3,"Yes","Yes","Always","Yes","Always","1-3","No","No"
"435","18-24","No","Yes","Conservative","News_Print","News_Print",4,"Yes","Yes","Always","Yes","Never","1-3","No","No"
"436","18-24","No","No","Conservative","News_Print","Other",3,"Yes","Yes","Most of the Time","Yes","Always","1-3","No","No"
"437","74+","No","No","Conservative","News_TV","News_TV",4,"Maybe","Yes","Most of the Time","No","Always","0","No","No"
"438","55-64","No","No","Liberals","News_Print","Other",4,"Yes","Yes","Rarely","No","Sometimes","0","No","Yes"
"439","45-54","No","No","Conservative","SM","Other",4,"Yes","No","Most of the Time","Yes","Most of the Time","4-5","No","No"
"440","25-34","No","No","Conservative","SM","News_TV",4,"Yes","Yes","Sometimes","Yes","Sometimes","0","No","No"
"441","65-74","No","Yes","Conservative","SM","News_TV",1,"Yes","No","Always","Yes","Sometimes","4-5","No","No"
"442","25-34","No","Yes","Conservative","News_Print","Internet",4,"Maybe","Maybe","Always","Yes","Rarely","4-5","Yes","No"
"443","65-74","Yes","Yes","Green","SM","News_TV",1,"No","Yes","Most of the Time","No","Never","1-3","No","No"
"444","18-24","No","Yes","Liberals","Family","Other",2,"Yes","Yes","Always","No","Most of the Time","0","Yes","Yes"
"445","45-54","No","Yes","NDP","Internet","Internet",0,"Yes","Yes","Most of the Time","No","Most of the Time","4-5","No","No"
"446","35-44","No","No","NDP","SM","News_Print",4,"No","No","Never","Yes","Always","1-3","Yes","No"
"447","45-54","Yes","Yes","Conservative","News_TV","Family",4,"No","No","Most of the Time","Yes","Sometimes","7+","Yes","Yes"
"448","35-44","No","No","Liberals","News_Print","News_Print",2,"No","Maybe","Most of the Time","Yes","Always","1-3","Yes","No"
"449","55-64","No","No","Conservative","Internet","Internet",4,"Yes","Yes","Never","Yes","Always","4-5","Yes","No"
"450","45-54","No","Yes","NDP","News_Print","News_TV",2,"Yes","Yes","Rarely","Yes","Most of the Time","1-3","Yes","No"
"451","18-24","Yes","No","Conservative","Internet","Other",0,"No","Maybe","Always","No","Always","4-5","No","No"
"452","45-54","Yes","No","Green","News_TV","Family",0,"Yes","Yes","Always","Yes","Rarely","4-5","No","No"
"453","25-34","No","No","Green","Other","News_Print",1,"Yes","No","Always","No","Sometimes","1-3","No","No"
"454","65-74","Yes","Yes","Green","Other","News_Print",4,"Yes","Maybe","Always","Yes","Rarely","4-5","No","No"
"455","65-74","No","No","Liberals","Family","News_Print",1,"No","No","Always","No","Sometimes","1-3","No","No"
"456","74+","No","No","Green","News_TV","News_TV",2,"Maybe","Yes","Most of the Time","No","Most of the Time","1-3","No","No"
"457","45-54","No","No","Conservative","News_Print","News_Print",1,"No","Yes","Always","Yes","Never","4-5","No","No"
"458","74+","No","No","Conservative","Internet","Internet",1,"Maybe","Yes","Always","Yes","Always","1-3","Yes","No"
"459","18-24","No","No","Liberals","News_TV","Family",4,"No","No","Always","Yes","Rarely","4-5","No","No"
"460","18-24","Yes","Yes","NDP","News_TV","SM",2,"Yes","No","Always","Yes","Most of the Time","7+","No","No"
"461","45-54","No","Yes","Liberals","Internet","News_Print",2,"Maybe","Yes","Rarely","No","Most of the Time","0","No","Yes"
"462","65-74","Yes","No","Liberals","Other","News_TV",0,"No","Yes","Most of the Time","Yes","Most of the Time","4-5","No","No"
"463","74+","Yes","Yes","NDP","Family","Family",0,"Yes","Yes","Most of the Time","No","Most of the Time","7+","Yes","No"
"464","18-24","No","No","NDP","News_TV","News_TV",4,"Yes","Yes","Rarely","Yes","Sometimes","0","No","Yes"
"465","74+","No","No","Liberals","Internet","News_Print",5,"Maybe","Yes","Rarely","No","Always","4-5","No","No"
"466","35-44","No","No","Liberals","Internet","News_TV",2,"Yes","Maybe","Rarely","Yes","Never","1-3","No","No"
"467","74+","No","Yes","NDP","Family","News_TV",4,"Yes","Maybe","Most of the Time","No","Rarely","1-3","No","No"
"468","25-34","Yes","Yes","Conservative","SM","News_TV",1,"Yes","No","Always","Yes","Always","4-5","No","No"
"469","55-64","Yes","No","Conservative","Internet","News_Print",1,"No","Yes","Always","Yes","Sometimes","1-3","Yes","No"
"470","35-44","No","No","Conservative","News_Print","News_TV",4,"No","Yes","Most of the Time","Yes","Most of the Time","4-5","No","No"
"471","65-74","No","Yes","Conservative","Other","Internet",4,"No","No","Never","Yes","Most of the Time","1-3","No","No"
"472","74+","No","Yes","Conservative","SM","Internet",4,"Yes","No","Most of the Time","No","Most of the Time","4-5","No","No"
"473","55-64","No","No","Liberals","News_TV","News_Print",4,"No","Yes","Always","Yes","Most of the Time","0","Yes","No"
"474","25-34","No","Yes","Green","News_Print","News_Print",0,"No","Yes","Most of the Time","No","Most of the Time","4-5","No","No"
"475","35-44","Yes","No","Conservative","News_Print","News_Print",0,"Yes","Maybe","Always","No","Rarely","0","No","No"
"476","45-54","No","No","Conservative","Internet","Internet",1,"Yes","Yes","Most of the Time","Yes","Rarely","1-3","No","No"
"477","45-54","No","No","Conservative","News_TV","Other",1,"Yes","No","Never","Yes","Sometimes","7+","No","No"
"478","55-64","Yes","No","Conservative","News_Print","News_TV",1,"No","Yes","Rarely","Yes","Rarely","1-3","No","No"
"479","74+","No","Yes","Liberals","News_Print","Family",4,"Maybe","Yes","Sometimes","Yes","Most of the Time","1-3","Yes","No"
"480","45-54","No","Yes","Conservative","Internet","SM",1,"Yes","Yes","Most of the Time","Yes","Rarely","1-3","No","No"
"481","65-74","No","Yes","Liberals","News_TV","News_Print",1,"Maybe","Yes","Most of the Time","Yes","Rarely","1-3","Yes","No"
"482","55-64","Yes","No","Liberals","SM","News_TV",1,"Yes","Yes","Always","No","Never","1-3","No","No"
"483","45-54","No","No","Liberals","News_Print","News_Print",3,"No","Yes","Always","Yes","Never","4-5","No","Yes"
"484","65-74","Yes","Yes","Liberals","News_TV","SM",2,"Yes","No","Most of the Time","No","Always","1-3","No","No"
"485","25-34","No","Yes","Conservative","Internet","Family",1,"Yes","Yes","Always","Yes","Always","1-3","No","No"
"486","35-44","No","Yes","Liberals","News_TV","News_Print",3,"Yes","Yes","Always","No","Most of the Time","1-3","No","No"
"487","18-24","No","No","Liberals","News_TV","News_TV",4,"Yes","Yes","Always","Yes","Most of the Time","1-3","No","No"
"488","65-74","Yes","No","Conservative","SM","SM",2,"No","No","Most of the Time","Yes","Most of the Time","1-3","No","No"
"489","35-44","No","Yes","Green","News_Print","Family",3,"Yes","Maybe","Most of the Time","Yes","Never","1-3","No","No"
"490","55-64","No","No","Green","News_Print","Family",2,"No","Yes","Never","Yes","Most of the Time","7+","No","No"
"491","65-74","No","No","Conservative","News_TV","News_Print",4,"Yes","No","Most of the Time","No","Sometimes","0","No","No"
"492","45-54","No","Yes","Liberals","News_Print","Other",3,"No","No","Always","No","Always","0","Yes","No"
"493","45-54","Yes","No","NDP","Family","Internet",4,"No","Yes","Always","No","Sometimes","1-3","No","No"
"494","35-44","No","No","Conservative","SM","SM",2,"Yes","Maybe","Always","Yes","Always","1-3","No","No"
"495","18-24","Yes","No","Liberals","Internet","News_TV",0,"No","No","Most of the Time","Yes","Most of the Time","1-3","No","No"
"496","45-54","Yes","Yes","Liberals","SM","News_Print",2,"Maybe","Yes","Most of the Time","Yes","Always","1-3","No","No"
"497","35-44","Yes","No","Liberals","News_Print","News_Print",4,"Yes","Maybe","Sometimes","Yes","Sometimes","4-5","No","No"
"498","45-54","No","No","Liberals","News_Print","News_Print",1,"Yes","No","Most of the Time","Yes","Always","1-3","No","No"
"499","74+","No","Yes","Liberals","Internet","News_Print",2,"Maybe","No","Always","Yes","Never","1-3","No","No"
"500","74+","Yes","No","Liberals","Internet","News_Print",4,"No","No","Most of the Time","Yes","Never","4-5","Yes","No"
"501","45-54","No","Yes","NDP","News_Print","News_TV",3,"Yes","Yes","Always","Yes","Rarely","1-3","No","No"
"502","45-54","No","Yes","NDP","Internet","Internet",1,"Maybe","No","Sometimes","No","Most of the Time","0","No","No"
"503","35-44","No","No","Green","Family","News_TV",5,"Yes","Yes","Most of the Time","Yes","Always","4-5","No","Yes"
"504","55-64","Yes","No","Conservative","Internet","News_TV",2,"Yes","Yes","Most of the Time","Yes","Sometimes","1-3","No","No"
"505","65-74","No","No","Conservative","Internet","News_Print",0,"No","Yes","Sometimes","No","Always","0","No","Yes"
"506","55-64","No","Yes","Conservative","News_Print","News_Print",1,"Yes","No","Rarely","Yes","Sometimes","1-3","No","No"
"507","25-34","Yes","Yes","NDP","News_Print","Internet",1,"No","No","Rarely","No","Rarely","7+","No","No"
"508","45-54","No","Yes","Liberals","Other","Family",1,"Yes","Maybe","Sometimes","Yes","Sometimes","1-3","No","Yes"
"509","35-44","No","Yes","Liberals","Internet","News_TV",0,"Maybe","Yes","Always","Yes","Most of the Time","4-5","No","No"
"510","25-34","No","Yes","Conservative","News_TV","News_Print",4,"Yes","Yes","Always","Yes","Rarely","0","No","No"
"511","65-74","No","No","Liberals","Internet","Internet",5,"Yes","No","Most of the Time","Yes","Always","7+","No","No"
"512","18-24","Yes","No","Conservative","Internet","Other",3,"No","No","Always","Yes","Rarely","4-5","No","No"
"513","65-74","No","Yes","Liberals","News_Print","Internet",4,"No","Maybe","Most of the Time","No","Most of the Time","0","No","No"
"514","74+","No","No","Liberals","Other","Other",3,"No","Yes","Always","Yes","Most of the Time","0","Yes","No"
"515","55-64","No","No","Conservative","Other","Other",4,"Yes","No","Most of the Time","Yes","Sometimes","1-3","No","No"
"516","35-44","No","No","Liberals","SM","News_TV",3,"Yes","No","Always","Yes","Sometimes","1-3","No","No"
"517","45-54","Yes","No","Conservative","Internet","News_TV",1,"No","No","Always","Yes","Rarely","0","No","No"
"518","25-34","No","No","Liberals","News_TV","News_Print",0,"Yes","Yes","Most of the Time","No","Always","1-3","Yes","No"
"519","65-74","Yes","No","NDP","News_Print","News_TV",2,"No","No","Sometimes","No","Most of the Time","1-3","Yes","No"
"520","55-64","Yes","No","NDP","Internet","Family",0,"Yes","Maybe","Most of the Time","Yes","Most of the Time","1-3","Yes","No"
"521","65-74","No","No","Conservative","News_Print","Internet",4,"Yes","Yes","Always","Yes","Always","4-5","No","No"
"522","25-34","No","No","NDP","Internet","News_TV",0,"No","Yes","Most of the Time","Yes","Always","1-3","No","No"
"523","65-74","Yes","Yes","Conservative","News_Print","News_Print",0,"Maybe","No","Always","Yes","Sometimes","4-5","Yes","No"
"524","25-34","Yes","No","Conservative","News_TV","News_Print",5,"No","No","Always","Yes","Always","4-5","No","No"
"525","35-44","No","Yes","Conservative","News_TV","News_Print",5,"Yes","No","Sometimes","Yes","Always","4-5","No","No"
"526","25-34","Yes","No","Liberals","News_Print","Other",3,"No","No","Most of the Time","No","Most of the Time","4-5","No","No"
"527","74+","No","No","Conservative","Other","Family",3,"Yes","Yes","Always","Yes","Most of the Time","4-5","No","Yes"
"528","65-74","No","No","Conservative","Internet","News_TV",4,"No","No","Rarely","Yes","Most of the Time","4-5","No","No"
"529","35-44","No","Yes","Green","News_TV","News_Print",0,"Yes","Yes","Most of the Time","Yes","Sometimes","4-5","No","No"
"530","25-34","Yes","No","NDP","Internet","News_Print",1,"No","Yes","Most of the Time","Yes","Rarely","4-5","Yes","No"
"531","35-44","No","No","Liberals","Internet","Internet",5,"Yes","Yes","Rarely","No","Rarely","1-3","No","No"
"532","74+","No","Yes","Liberals","News_Print","News_TV",1,"Yes","Maybe","Most of the Time","Yes","Rarely","7+","No","No"
"533","35-44","Yes","No","Green","Internet","Other",2,"Yes","No","Rarely","Yes","Always","1-3","No","No"
"534","55-64","Yes","No","None or Other","Internet","News_Print",5,"No","No","Always","No","Most of the Time","1-3","No","No"
"535","45-54","No","Yes","Liberals","News_TV","SM",0,"Yes","No","Sometimes","Yes","Most of the Time","1-3","No","No"
"536","18-24","Yes","No","NDP","News_TV","Internet",1,"No","Yes","Always","Yes","Most of the Time","4-5","No","No"
"537","45-54","No","No","NDP","News_TV","Other",2,"Yes","No","Always","No","Sometimes","4-5","Yes","No"
"538","25-34","No","Yes","Conservative","Other","Internet",2,"No","Yes","Always","No","Always","1-3","Yes","No"
"539","45-54","No","No","Conservative","News_TV","Internet",0,"Yes","No","Always","Yes","Most of the Time","0","No","No"
"540","45-54","Yes","Yes","None or Other","Other","News_TV",1,"Yes","No","Rarely","Yes","Rarely","7+","Yes","No"
"541","74+","No","No","NDP","News_Print","Internet",3,"Yes","No","Most of the Time","Yes","Always","1-3","No","No"
"542","45-54","Yes","No","Conservative","News_TV","News_TV",4,"No","Maybe","Most of the Time","No","Always","1-3","No","No"
"543","74+","No","No","Liberals","Family","News_TV",3,"No","Yes","Always","Yes","Most of the Time","4-5","No","No"
"544","55-64","No","Yes","Green","Internet","Internet",1,"Maybe","Maybe","Always","No","Most of the Time","4-5","No","No"
"545","74+","No","No","Liberals","News_Print","Family",2,"Yes","Maybe","Always","No","Rarely","4-5","No","No"
"546","45-54","No","No","NDP","Family","Internet",2,"Yes","Yes","Always","No","Never","4-5","No","No"
"547","45-54","No","Yes","Liberals","Internet","News_TV",4,"Maybe","No","Most of the Time","Yes","Most of the Time","4-5","Yes","No"
"548","45-54","No","Yes","NDP","Other","News_Print",2,"Yes","Yes","Never","No","Most of the Time","1-3","No","No"
"549","18-24","No","Yes","Liberals","News_TV","SM",1,"Yes","No","Most of the Time","Yes","Always","4-5","No","No"
"550","35-44","No","No","Liberals","News_Print","SM",5,"Yes","No","Sometimes","Yes","Most of the Time","1-3","Yes","No"
"551","35-44","No","Yes","Green","News_TV","News_TV",5,"No","No","Never","No","Rarely","1-3","No","No"
"552","18-24","No","No","Green","Family","Family",2,"Maybe","Yes","Most of the Time","Yes","Always","1-3","No","No"
"553","55-64","Yes","No","Liberals","News_Print","SM",2,"Maybe","No","Most of the Time","Yes","Most of the Time","7+","No","Yes"
"554","25-34","Yes","Yes","Green","News_Print","Internet",5,"Yes","No","Always","No","Sometimes","4-5","No","No"
"555","25-34","Yes","No","Liberals","Other","News_TV",5,"Yes","No","Always","Yes","Sometimes","4-5","No","No"
"556","25-34","Yes","Yes","Liberals","Internet","News_Print",2,"Yes","Yes","Always","Yes","Most of the Time","4-5","No","No"
"557","74+","No","Yes","Conservative","SM","News_TV",1,"Yes","Yes","Rarely","Yes","Always","4-5","No","No"
"558","45-54","Yes","No","NDP","Internet","SM",2,"Maybe","Yes","Always","Yes","Rarely","1-3","No","No"
"559","35-44","Yes","Yes","Liberals","News_Print","SM",1,"Yes","Maybe","Never","Yes","Always","0","No","No"
"560","35-44","Yes","No","Conservative","Family","Other",1,"Yes","No","Always","Yes","Always","4-5","No","No"
"561","55-64","No","Yes","NDP","SM","Internet",2,"Yes","Yes","Always","Yes","Always","1-3","No","No"
"562","65-74","Yes","No","Conservative","Internet","News_Print",3,"Maybe","No","Always","Yes","Always","4-5","Yes","No"
"563","65-74","No","No","Conservative","News_Print","News_Print",4,"Yes","No","Never","No","Always","4-5","No","No"
"564","55-64","No","No","Liberals","SM","News_TV",4,"No","Yes","Sometimes","Yes","Rarely","1-3","No","No"
"565","45-54","No","Yes","Liberals","Family","News_Print",1,"Yes","No","Most of the Time","No","Rarely","4-5","No","No"
"566","55-64","No","Yes","Conservative","SM","Internet",0,"Yes","No","Most of the Time","Yes","Most of the Time","0","Yes","No"
"567","55-64","No","No","Green","News_Print","News_TV",4,"No","Maybe","Always","Yes","Always","1-3","Yes","No"
"568","18-24","No","No","Conservative","News_Print","News_Print",3,"Yes","Yes","Always","Yes","Sometimes","1-3","No","No"
"569","65-74","Yes","Yes","Liberals","Internet","News_Print",0,"No","Yes","Always","Yes","Always","1-3","No","No"
"570","65-74","Yes","Yes","Liberals","Family","News_TV",5,"No","Yes","Never","Yes","Most of the Time","1-3","No","No"
"571","65-74","Yes","Yes","Liberals","SM","Other",1,"No","Yes","Most of the Time","Yes","Rarely","0","No","Yes"
"572","35-44","Yes","Yes","Liberals","News_Print","News_TV",1,"No","No","Most of the Time","No","Most of the Time","7+","No","No"
"573","55-64","Yes","No","Conservative","Internet","News_TV",2,"No","No","Most of the Time","Yes","Sometimes","4-5","No","No"
"574","25-34","Yes","Yes","Green","Other","News_Print",3,"Yes","Yes","Most of the Time","Yes","Always","4-5","Yes","No"
"575","55-64","No","Yes","Conservative","News_TV","Family",2,"Yes","No","Always","Yes","Never","4-5","Yes","No"
"576","45-54","No","No","Conservative","News_Print","Internet",2,"No","No","Always","Yes","Rarely","1-3","No","No"
"577","55-64","No","No","Liberals","News_TV","SM",4,"Maybe","Maybe","Most of the Time","Yes","Rarely","4-5","No","No"
"578","35-44","Yes","Yes","Liberals","News_Print","Internet",2,"Yes","No","Always","Yes","Always","1-3","Yes","No"
"579","35-44","No","No","Conservative","News_TV","News_TV",1,"No","Yes","Most of the Time","Yes","Sometimes","4-5","No","No"
"580","45-54","No","Yes","Liberals","Internet","Family",4,"Yes","No","Rarely","Yes","Rarely","0","No","No"
"581","55-64","No","Yes","Green","Internet","News_Print",0,"Yes","No","Most of the Time","Yes","Rarely","1-3","No","Yes"
"582","65-74","Yes","Yes","Liberals","SM","Internet",4,"Yes","Yes","Always","No","Always","0","No","No"
"583","65-74","No","No","Conservative","Family","SM",1,"Yes","Maybe","Always","No","Always","4-5","No","No"
"584","55-64","Yes","No","Liberals","Family","Other",2,"Yes","Maybe","Most of the Time","Yes","Always","1-3","Yes","No"
"585","35-44","No","Yes","Conservative","News_Print","News_Print",3,"Yes","Yes","Always","Yes","Most of the Time","1-3","No","No"
"586","45-54","No","Yes","Green","SM","News_Print",0,"Yes","Yes","Sometimes","Yes","Most of the Time","4-5","No","No"
"587","55-64","Yes","No","Liberals","SM","News_TV",3,"Maybe","No","Always","Yes","Sometimes","4-5","No","No"
"588","35-44","No","No","Green","News_Print","Internet",3,"Yes","Yes","Most of the Time","Yes","Always","0","No","No"
"589","35-44","No","No","Green","Internet","News_TV",0,"Yes","Yes","Always","Yes","Most of the Time","4-5","No","No"
"590","55-64","Yes","Yes","Conservative","Internet","News_TV",1,"No","No","Most of the Time","Yes","Always","1-3","No","Yes"
"591","35-44","No","Yes","Conservative","Internet","Internet",0,"No","Yes","Always","Yes","Sometimes","1-3","Yes","No"
"592","25-34","No","Yes","NDP","SM","News_Print",1,"No","No","Most of the Time","No","Always","1-3","Yes","No"
"593","74+","Yes","No","Liberals","News_TV","SM",3,"Yes","No","Sometimes","Yes","Always","4-5","Yes","No"
"594","25-34","No","Yes","Conservative","News_Print","Family",0,"No","No","Most of the Time","Yes","Most of the Time","4-5","No","No"
"595","65-74","No","No","NDP","News_Print","SM",2,"No","Yes","Always","Yes","Most of the Time","4-5","No","No"
"596","55-64","No","No","Liberals","News_Print","News_TV",1,"Yes","Yes","Always","Yes","Most of the Time","0","No","Yes"
"597","35-44","No","Yes","NDP","SM","News_Print",0,"No","No","Most of the Time","Yes","Always","1-3","Yes","No"
"598","45-54","Yes","No","Conservative","News_TV","News_TV",5,"Yes","Yes","Always","No","Rarely","1-3","No","No"
"599","25-34","No","No","Conservative","SM","News_Print",0,"No","No","Rarely","No","Most of the Time","1-3","No","No"
"600","55-64","No","No","Conservative","News_Print","News_Print",1,"Maybe","No","Rarely","Yes","Rarely","1-3","No","No"
"601","65-74","Yes","Yes","Green","Internet","Internet",5,"No","Maybe","Always","No","Sometimes","1-3","Yes","No"
"602","45-54","No","No","Liberals","News_TV","Internet",1,"No","Yes","Always","No","Always","1-3","Yes","Yes"
"603","45-54","No","Yes","Conservative","News_Print","News_TV",4,"No","No","Never","Yes","Sometimes","1-3","No","No"
"604","65-74","No","Yes","Liberals","SM","Other",5,"Yes","No","Sometimes","Yes","Always","0","Yes","No"
"605","65-74","Yes","Yes","Conservative","News_TV","News_TV",4,"Yes","Yes","Always","Yes","Never","7+","No","No"
"606","18-24","No","No","Conservative","News_TV","News_TV",0,"Yes","Yes","Always","No","Rarely","1-3","No","No"
"607","55-64","No","Yes","Conservative","Internet","News_TV",1,"No","Yes","Always","Yes","Always","4-5","No","No"
"608","25-34","Yes","No","Conservative","News_Print","News_TV",1,"No","No","Most of the Time","Yes","Always","4-5","No","No"
"609","25-34","No","No","Conservative","News_Print","News_TV",3,"Yes","No","Most of the Time","Yes","Most of the Time","4-5","No","No"
"610","35-44","No","Yes","NDP","Internet","SM",2,"Yes","Yes","Always","Yes","Most of the Time","1-3","No","No"
"611","18-24","Yes","No","Liberals","Family","News_TV",1,"Maybe","No","Always","Yes","Always","7+","No","No"
"612","55-64","No","No","NDP","News_Print","Internet",5,"Yes","No","Sometimes","Yes","Always","4-5","No","No"
"613","25-34","No","No","Liberals","Internet","News_Print",4,"No","Yes","Most of the Time","Yes","Sometimes","4-5","Yes","No"
"614","65-74","No","No","Green","Internet","Other",1,"No","No","Most of the Time","No","Sometimes","1-3","No","No"
"615","25-34","No","No","NDP","News_Print","News_TV",4,"No","Yes","Most of the Time","Yes","Never","1-3","No","No"
"616","45-54","No","No","Liberals","Internet","Other",1,"Yes","Yes","Always","No","Most of the Time","1-3","No","No"
"617","55-64","No","No","Liberals","Internet","News_Print",3,"Maybe","No","Rarely","No","Most of the Time","0","No","No"
"618","18-24","No","No","Conservative","Other","Internet",1,"Yes","Yes","Most of the Time","Yes","Most of the Time","4-5","Yes","Yes"
"619","74+","No","No","Liberals","News_Print","Family",1,"Yes","Maybe","Always","Yes","Sometimes","4-5","No","Yes"
"620","35-44","Yes","Yes","Conservative","News_TV","News_Print",4,"Yes","Yes","Most of the Time","No","Always","0","Yes","No"
"621","55-64","Yes","Yes","Liberals","SM","News_TV",4,"Yes","No","Sometimes","Yes","Sometimes","4-5","Yes","No"
"622","35-44","No","No","Conservative","News_Print","News_TV",4,"Maybe","Yes","Always","No","Most of the Time","0","No","No"
"623","35-44","No","No","Liberals","News_Print","Internet",2,"Maybe","Maybe","Most of the Time","Yes","Always","4-5","No","No"
"624","55-64","Yes","No","Liberals","News_TV","Internet",2,"Yes","Yes","Most of the Time","Yes","Rarely","1-3","No","No"
"625","45-54","Yes","No","Green","News_Print","SM",3,"No","Maybe","Most of the Time","Yes","Most of the Time","1-3","No","No"
"626","25-34","No","No","Conservative","SM","Internet",1,"Yes","No","Sometimes","No","Sometimes","1-3","No","No"
"627","35-44","No","Yes","NDP","News_TV","News_Print",2,"Yes","Maybe","Most of the Time","No","Always","4-5","No","No"
"628","45-54","No","No","NDP","Internet","Family",4,"Yes","No","Always","Yes","Rarely","7+","Yes","No"
"629","45-54","No","Yes","Conservative","News_Print","Other",2,"Yes","Yes","Rarely","No","Most of the Time","4-5","No","No"
"630","25-34","Yes","No","Liberals","News_TV","Family",4,"No","Yes","Sometimes","Yes","Most of the Time","7+","No","No"
"631","25-34","No","No","Liberals","News_Print","News_Print",3,"Yes","Yes","Always","Yes","Rarely","4-5","Yes","No"
"632","25-34","No","Yes","Conservative","Family","News_Print",0,"Maybe","No","Sometimes","Yes","Most of the Time","0","No","No"
"633","55-64","No","No","Liberals","Internet","News_TV",4,"No","No","Most of the Time","Yes","Rarely","4-5","No","No"
"634","25-34","Yes","No","Conservative","SM","Family",3,"Yes","No","Always","Yes","Always","4-5","No","No"
"635","25-34","Yes","Yes","Conservative","Internet","Internet",3,"Yes","No","Always","No","Always","1-3","No","No"
"636","18-24","Yes","Yes","Green","News_TV","News_TV",2,"Maybe","No","Sometimes","Yes","Rarely","1-3","No","No"
"637","74+","No","No","Liberals","News_TV","Other",5,"Yes","Yes","Sometimes","Yes","Always","1-3","Yes","No"
"638","45-54","Yes","No","Conservative","SM","Family",0,"Yes","No","Most of the Time","Yes","Always","4-5","No","No"
"639","18-24","No","No","Conservative","Other","Family",2,"Yes","Yes","Always","Yes","Rarely","1-3","Yes","No"
"640","74+","No","Yes","Liberals","Internet","News_TV",4,"Yes","Maybe","Never","No","Most of the Time","7+","Yes","No"
"641","45-54","Yes","Yes","NDP","SM","Internet",3,"No","Yes","Always","Yes","Always","1-3","No","No"
"642","35-44","Yes","Yes","Liberals","SM","Family",3,"Maybe","No","Sometimes","No","Never","7+","No","No"
"643","25-34","Yes","No","Liberals","News_TV","News_Print",2,"No","No","Most of the Time","No","Most of the Time","1-3","Yes","No"
